report_id,setting,city,country,injury_category,severity,primary_classification,year,title,category,risk,what_happened,what_could_have_happened,why_did_it_happen,causal_factors,what_went_well,lessons_to_prevent,actions
47,plant shutdown digital permit isolation management system,,canada,injury,potentially significant,security,2023,cloud ptw breach disrupts shutdown isolation controls,near miss,1,planned plant wide shutdown multiple work groups relied cloud based permit work ptw system coordinate isolations conflicting tasks vessel entries early afternoon maintenance personnel preparing exchanger cleaning noticed several isolations digital permit marked removed even though energy isolation team completed field verification supervisors quickly realized ptw system showed updated statuses three high risk isolation points affecting different shutdown activities deeper review showed changes originated external ip address using contractor login scheduled site traced activity compromised account accessed weak credentials reused across multiple platforms operators initiated stop work affected permits locked physical isolation cabinets verified every isolation point manually system switched offline manual mode remainder shift energization occurred personnel exposed hazardous energy,energization process equipment workers inside near confined spaces simultaneous operations conflict multiple crews relied incorrect isolation states high pressure high temperature releases intrusive maintenance tasks major injury fatality uncontrolled mechanical electrical energy widespread shutdown delays due need audit isolations,root causes security controls cloud ptw system insufficient shutdown critical operations digital isolation workflow lacked robust dual verification status changes applied contractor access management enforce strong password policies mandatory credential renewal cyber security risks shutdown operations fully assessed project planning,high workload shutdown increased reliance digital approvals without secondary checks multiple contractors shared devices network connections complicating traceability account activity alerts unusual isolation status changes enabled properly configured time pressure align activities across work fronts reduced attention system anomalies limited cyber awareness training temporary shutdown personnel,maintenance crew immediately questioned isolation statuses match field conditions stop work authority used effectively preventing continuation unsafe tasks physical isolation controls locks tags remained intact provided critical barrier operations isolated ptw system shifted manual controls rapidly cross discipline communication operations maintenance hse fast coordinated lessons prevent occurrence treat ptw isolation systems safety critical assets requiring hardened security shutdowns rely digital isolation statuses without physical verification high risk tasks strengthen account governance especially temporary contractor personnel configure real time alerts isolation change ensure routed responsible supervisors include cyber threats shutdown planning risk reviews readiness assessments provide targeted cyber hygiene training part shutdown onboarding,,action enforce multi factor authentication ptw isolation related accounts owner role security lead timing immediate verification access logs confirm mfa enabled accounts action disable remote access ptw system major shutdown events owner role shutdown manager timing days verification system access report showing site ip ranges permitted action add mandatory dual approval isolation removal status change owner role digital systems administrator timing days verification functional test demonstrating two independent approvals required action implement enhanced anomaly alert rules isolation related actions owner role ot security specialist timing days verification simulated anomaly triggers validated logged action issue unique time limited credentials shutdown contractors owner role contractor coordination lead timing days verification credential audit showing non shared short term ids action conduct shutdown specific cyber risk workshops operations contractor supervisors owner role hse training lead timing days verification attendance records post workshop assessments action develop manual ptw isolation fallback procedure drill major shutdown owner role operations supervisor timing days verification completed drill records showing team competency action integrate cyber security checks shutdown readiness reviews owner role shutdown planning engineer timing days verification updated readiness checklist completed cyber review entries
48,utilities substation electrical distribution area,,canada,injury,potentially significant,security,2023,unauthorized system access alters electrical isolation status,near miss,1,maintenance crew preparing replace set damaged cables feeding low voltage distribution panel planned outage site used cloud connected isolation management system display breaker status tagouts verification steps early morning electrician noticed two breakers associated cable system showing open verified even though verification yet performed field supervisors quickly realized isolation record modified remotely later discovered external actor gained access using compromised contractor account likely obtained password reuse public website actor explored interface toggled isolation states interact systems work began field team attempted rack breakers observed one breaker remained energized work immediately halted ptw system taken offline isolations confirmed manually workers contacted energized equipment job rescheduled,live electrical contact cable removal arc flash resulting unisolated circuits severe burns electrocution fatality damaged substation equipment fire electrical rooms loss confidence digital isolation systems leading unsafe workarounds,root causes weak credential controls contractor accounts allowed unauthorized platform access isolation management software permitted remote status changes without dual approval mechanism cyber security risks fully evaluated part electrical isolation workflow overreliance digital verification steps instead field based confirmation,password reuse contractor created vulnerability system alerts unexpected isolation changes enabled high workload outage preparation created reliance automated workflows inconsistent understanding among crew members steps required physical confirmation limited cyber awareness training field personnel,electricians attempted physical breaker verification touching equipment stop work authority used immediately inconsistencies appeared manual lockout procedures remained effective preventing inadvertent contact operations acted quickly disable platform write access event reported promptly enabling cross functional learning lessons prevent occurrence treat system influences electrical isolations safety critical secure accordingly never rely solely digital isolation indicators always confirm zero energy source enforce strong credential practices including mfa unique contractor logins configure anomaly alerts isolation related status changes include cyber security considerations within isolation procedures training ensure isolation workflows require second person verification status changes,,action enable multi factor authentication isolation system accounts owner role security lead timing immediate verification access logs verifying mfa used active accounts action add mandatory dual approval isolation status change digital system owner role electrical supervisor timing days verification functional test showing two approvals required status updates action configure automated alerts remote isolation modification outages owner role ot security specialist timing days verification successful trigger test alerts documented action train contractor workforce cyber safe credential practices owner role contractor management lead timing days verification training attendance records completion assessments action update electrical isolation procedure explicitly require field verification prior work owner role hse advisor timing days verification procedure audit confirming inclusion rollout crews action restrict remote access isolation systems outages unless pre approved owner role outage manager timing days verification access controls reviewed confirmed system logs action conduct periodic penetration tests focused systems tied loto isolations owner role cybersecurity manager timing days verification pen test report closure identified findings action create shutdown outage specific checklist requiring cyber risk review digital permitting isolation systems owner role maintenance planning engineer timing days verification completed checklist next scheduled outage
49,utilities substation emergency response activity,,canada,injury,potentially significant,security,2021,isolation override discovered emergency electrical response,near miss,1,emergency response suspected electrical smoke odor near low voltage distribution room responders initiated rapid shutdown nearby equipment electrical team planned isolate feeder panel feeding several motor loads completing assessment accessing digital isolation interface observed feeder breaker already labeled open verified indicating safe handle however responders attempted confirm zero energy panel using voltage tester found circuit still energized review revealed isolation status changed remotely cloud based isolation management tool approximately minutes earlier account used make change belonged contractor present site responders immediately halted task downgraded emergency controlled monitoring physically isolated equipment manual locks tags contact occurred responders placed line fire,live electrical contact emergency activities arc flash due unisolated circuits severe burn injury electrocution escalation emergency responders assumed de energization proceeded removal covers cable terminations,root causes inadequate cyber security controls allowed unauthorized modification isolation states emergency response procedures relied heavily digital verification instead field confirmation lack dual approval mechanism isolation status changes emergencies contractor access governance include real time activity monitoring remote accounts,high pressure emergency decision making led reliance displayed system information responders unaware remote access remained enabled emergency modes insufficient clarity roles privileges within isolation software inconsistent communication operations emergency responders regarding isolation status recent software update changed interface making unauthorized changes less visible,responders performed physical voltage test touching equipment stop work authority used immediately discrepancy detected manual isolation applied quickly restoring safe conditions emergency response operations teams coordinated effectively transition digital manual control incident escalated promptly security avoiding system misuse lessons prevent occurrence always verify zero energy field particularly emergency response strengthen access control monitoring digital isolation tools emergencies require dual approval change isolation status emergency response active ensure emergency responders trained identify cyber related anomalies digital interfaces clarify communication flows operations emergency teams time critical events include potential cyber manipulation scenarios emergency drills,,action enable emergency mode account restrictions preventing remote isolation changes owner role ot security specialist timing immediate verification access logs confirm remote accounts cannot modify isolations emergency tag action implement mandatory dual approval isolation status changes digital systems owner role electrical supervisor timing days verification system test demonstrating approval workflow changes apply action update emergency response procedures require physical zero energy tests equipment access owner role hse advisor timing days verification field audits demonstrating correct verification steps drills action deploy real time alerts isolation changes route shift control room owner role automation lead timing days verification successful alert activation simulated test events action reissue contractor access guidelines enforce unique credentials mfa owner role contractor coordinator timing days verification credential review confirming shared accounts mfa logs active action add cyber scenario modules annual emergency response training owner role emergency response coordinator timing days verification training records scenario evaluation reports action conduct penetration testing focused digital isolation tools owner role cybersecurity manager timing days verification pen test report closed outstanding findings action integrate isolation system integrity checks emergency drill planning owner role operations planning engineer timing days verification drill documentation showing validation digital manual isolation pathways
50,electrical equipment room routine maintenance,,canada,injury,potentially significant,security,2023,unauthorized override leads live equipment exposure maintenance,near miss,1,maintenance crew preparing tighten terminal connections low voltage motor control panel scheduled work digital isolation system displayed feeder breaker open verified indicating panel safe access starting electrician removed panel cover reached toward terminals begin torque verification part standard practice crew performed quick voltage check tester unexpectedly indicated live voltage two phases work immediately stopped review revealed earlier morning someone using compromised remote account overridden breaker status flag cloud based isolation interface actual breaker never opened team reinstated physical loto confirmed zero energy source started corrected permit contact energized components occurred,direct contact live conductors resulting severe shock electrocution arc flash initiated accidental tool contact causing burns blast injuries fire equipment damage within mcc room secondary injuries startled,root causes isolation management software allowed remote status changes without physical confirmation user access control require multi factor authentication remote logins procedures relied heavily digital verification rather physical point work confirmation risk assessment cloud connected isolation tools account malicious overrides,high workload led workers trust system indicators without early voltage testing cybersecurity notifications unusual account activity disabled routine server maintenance incomplete communication operations maintenance teams regarding unexpected interface behavior earlier week user interface looked identical manual vs remotely updated isolation states creating false confidence,electrician performed voltage test touching components preventing injury stop work authority used immediately voltage detected crew reverted physical lockout proper tagging testing support responded quickly disabled compromised account incident reported promptly allowing cross departmental review lessons prevent occurrence always confirm zero energy field regardless digital system indications treat digital isolation indicators supportive authoritative controls strengthen cybersecurity controls systems influence safety critical states ensure real time alerts functional system maintenance windows train teams recognize discrepancies physical digital isolation cues require dual approval workflow remote status changes isolation systems,,equipment failure happen root causes isolation management software allowed remote status changes without physical confirmation user access control require multi factor authentication remote logins procedures relied heavily digital verification rather physical point work confirmation risk assessment cloud connected isolation tools account malicious overrides causal factors high workload led workers trust system indicators without early voltage testing cybersecurity notifications unusual account activity disabled routine server maintenance incomplete communication operations maintenance teams regarding unexpected interface behavior earlier week user interface looked identical manual vs remotely updated isolation states creating false confidence went well electrician performed voltage test touching components preventing injury stop work authority used immediately voltage detected crew reverted physical lockout proper tagging testing support responded quickly disabled compromised account incident reported promptly allowing cross departmental review lessons prevent occurrence always confirm zero energy field regardless digital system indications treat digital isolation indicators supportive authoritative controls strengthen cybersecurity controls systems influence safety critical states ensure real time alerts functional system maintenance windows train teams recognize discrepancies physical digital isolation cues require dual approval workflow remote status changes isolation systems actions action implement multi factor authentication isolation system accounts owner role security lead timing immediate verification access logs confirm mfa used users action add mandatory physical breaker position verification panel access owner role electrical supervisor timing days verification field audits show voltage testing logged enclosure entry action enable anomaly based alerts unexpected isolation status changes owner role ot security specialist timing days verification test alerts triggered recorded system logs action introduce dual approval rule remote updates isolation states owner role operations manager timing days verification system configuration shows dual approval workflow active action update electrical isolation procedure state digital flags cannot used sole verification owner role hse advisor timing days verification procedure review confirms change training updates issued action conduct refresher training highlighting cyber manipulation scenarios isolation processes owner role training coordinator timing days verification attendance records scenario assessments completed action schedule quarterly security audits cloud based isolation tools owner role cybersecurity manager timing days verification completed audit report tracked remediation items action reinstate system health dashboard monitoring including alert capabilities maintenance windows owner role digital systems administrator timing days verification monitoring dashboard shows active alert channels uptime logs
51,maintenance area instrument air header,,canada,injury,potentially significant,security,2022,unauthorized system change exposes crew live pneumatic energy,near miss,1,maintenance team assigned replace pressure regulator instrument air branch line planned outage digital isolation interface showed upstream pneumatic isolation valve closed verified system pressure reported zero team began loosening flange bolts preparation removing regulator part last minute check one technician noticed faint vibration performed quick manual bleed test sudden jet compressed air escaped partially loosened flange indicating line still energized work stopped immediately subsequent investigation revealed isolation closed status updated remotely compromised login earlier morning upstream pneumatic valve actually shut header still operating normal pressure establishing safe conditions physical lockout line depressurization work resumed without injury,high pressure air release causing eye face injury lacerations projectile hazards bolts gasket material ejecting pressure worker instability fall due unexpected blast force escalation nearby equipment debris struck valves tubing instrumentation,root causes digital isolation system allowed remote updates without secondary verification step cyber security controls contractor access accounts insufficient procedures placed excessive reliance digital isolation indicators rather physical depressurization checks site risk review pneumatic systems consider cyber manipulated isolation states,high work tempo outage preparation reduced attention early manual bleed checks compressed air lines lacked clear physical markers confirming isolation points team unaware recent unusual behavior digital interface flagged operations pneumatic header continued operating higher normal pressure due upstream demand increasing hazard magnitude,technician performed manual bleed test full flange removal team used stop work authority immediately abnormal pressure release area cleared quickly preventing secondary exposure digital access logs helped identify disable compromised account physical lockout tagging established work resumed lessons prevent occurrence never rely solely digital indicators energy isolation always verify zero pressure physically require dual approval workflows isolation status change affecting pneumatic hydraulic systems strengthen authentication monitoring remote system access improve visibility physical isolation points color coded tags clear diagrams train crews recognize mismatches digital system states physical cues,,action implement multi factor authentication digital isolation tool accounts owner role security lead timing immediate verification access audit confirming accounts require mfa action install mechanical lockable isolation devices key pneumatic valves owner role maintenance supervisor timing days verification physical inspection confirming lockout capability installed action require physical depressurization tests line opening owner role hse advisor timing days verification field audits permit reviews confirming bleed check documentation action introduce dual approval remote isolation status changes owner role operations manager timing days verification system test demonstrating two independent approvals recorded action enhance pneumatic system schematics clear isolation markers owner role reliability engineer timing days verification updated drawings published verified field action add real time alerts abnormal sequence isolation updates owner role ot security specialist timing days verification successful alert triggers test events action deliver cyber risk training modules focused energy isolation systems owner role training coordinator timing days verification completion records assessment scores action conduct quarterly penetration testing digital isolation platforms owner role cybersecurity manager timing days verification pen test report closed corrective actions
52,maintenance bay hydraulic power unit hpu,,canada,injury,potentially significant,security,2023,unauthorized system override exposes crew live hydraulic pressure,near miss,1,maintenance team assigned replace leaking control manifold hydraulic power unit feeds several actuators process area digital isolation dashboard showed hydraulic supply valve isolated verified pressure listed zero based team began loosening bolts manifold cover first loosened bolt technician noticed slight seep hydraulic fluid followed rapid hiss sensing unexpected pressure immediately stopped manual gauge check revealed line still charged moderate pressure operations confirmed remote override applied earlier day compromised login changing isolation state system without physical action valve actual depressurization never occurred team evacuated area physically isolated hydraulic supply using lockout hardware bled system resuming work one injured hydraulic injection occurred,high pressure hydraulic injection injury hands arms face sudden component failure leading projectile hazards loss control nearby hydraulic actuators causing secondary pinch crush hazards slips falls sudden fluid release,root causes digital isolation system permitted remote status changes without physical confirmation cybersecurity controls remote contractor accounts insufficient procedures relied digital readings instead mandatory manual pressure verification hydraulic system risk assessments consider cybersecurity driven manipulation isolation states,high workload schedule pressure equipment outage manual pressure gauges checked starting disassembly inconsistent communication earlier irregularities digital dashboard hydraulic lines clearly labeled physical isolation points recent software update made verified states visually identical standard operator entries,technician recognized abnormal seep stopped work immediately manual pressure verification performed suspicion arose area cleared quickly preventing potential injection injury operations isolated compromised account promptly work resumed physical lockout confirmed depressurization lessons prevent occurrence physical pressure verification mandatory hydraulic line opening remote updates isolation states must require multi step approval digital isolation indicators never considered sole verification hydraulic zero energy improve visibility labeling hydraulic isolation points train personnel recognize digital anomalies escalate early strengthen cyber controls systems connected safety critical isolations,,action implement multi factor authentication digital isolation system users owner role security lead timing immediate verification access log review confirming mfa enabled accounts action add secondary approval two person validation hydraulic isolation status change owner role operations supervisor timing days verification system test confirming workflow requirement action require manual pressure gauge verification hydraulic component opened owner role maintenance lead timing days verification permit audits showing documented zero pressure checks action install physical lockable isolation valves hpu supply headers owner role reliability engineer timing days verification field inspection confirming installation action create training module hydraulic injection hazards digital system manipulation scenarios owner role hse training coordinator timing days verification attendance records assessment results action configure alerting override remote update alters hydraulic isolation states owner role ot security specialist timing days verification successful demonstration alerts system test action enhance hydraulic system schematics clear color coded isolation point markings owner role engineering document control timing days verification updated schematics uploaded verified field review action conduct quarterly cyber resilience checks control isolation platforms owner role cybersecurity manager timing days verification report demonstrating vulnerabilities addressed
53,mechanical maintenance area spring loaded actuator assembly,,canada,injury,potentially significant,security,2021,unauthorized reset leaves crew exposed stored mechanical energy,near miss,1,maintenance team tasked replacing worn seals inside spring loaded actuator used process isolation valve digital isolation dashboard indicated actuator internal spring cartridge mechanically restrained locked work permit confirmed zero stored energy crew began removing retaining bolts actuator housing final bolt partially loosened one technician noticed slight movement heard creaking noise inconsistent fully restrained spring halted work immediately manual inspection found mechanical restraint pin engaged review showed restraint status updated remotely earlier morning unauthorized access marking spring locked even though physical restraint applied crew evacuated area installed bolts properly locked spring cartridge using mechanical restraints resuming work one injured,sudden release spring force causing serious impact crush injuries actuator housing components ejecting high velocity secondary injuries workers losing balance struck tools release damage adjacent piping scaffolding uncontrolled mechanical movement,root causes isolation management software allowed status changes without physical verification cybersecurity protocols remote access accounts robust enough stored energy verification steps procedures relied heavily digital confirmation lack engineering safeguards requiring physical lock engagement digital system allowed restrained status,work team assumed actuator safe based dashboard indicators restraint pin design include visible mechanical position indicator early shift interface delays created confusion updates system generated vs manually logged high workload led skipped secondary checks normally performed spring loaded equipment work limited cross communication operations maintenance regarding earlier digital anomalies,technician identified abnormal movement stopped work immediately crew applied stop work authority secured components stepping back operations isolated compromised account swiftly proper mechanical restraints installed opening actuator team conducted full hazard review restarting job lessons prevent occurrence never rely digital indicators alone stored mechanical energy always verify physical restraints use clear visible mechanical indicators restraint pin engagement strengthen cybersecurity protections system influences isolation stored energy states improve communication pathways operations maintenance regarding system irregularities require enhanced verification steps spring loaded tension based equipment disassembly,,action implement dual approval workflow digital restraint applied status changes owner role operations manager timing immediate verification system configuration review confirming dual approval required action install mechanical restraint indicators e g colored tags protruding pins spring loaded actuators owner role reliability engineer timing days verification field audits verifying indicator visibility action require physical restraint checks two persons housing bolts removed owner role maintenance supervisor timing days verification permit reviews showing documented double checks action enable real time alerts remote edits stored energy states owner role ot security specialist timing days verification test alerts logged validated action develop training module stored mechanical energy hazards cyber manipulation scenarios owner role hse training coordinator timing days verification attendance assessment records action conduct quarterly cybersecurity audits isolation related digital tools owner role cybersecurity manager timing days verification completed audits closure findings action update isolation procedures include mandatory physical verification spring cartridges owner role procedure owner hse advisor timing days verification revised procedure published implemented action improve operator maintenance communications shift handover notes including system anomalies owner role operations supervisor timing immediate verification handover logs show consistent anomaly reporting
54,process unit mixed utilities line hydraulic mechanical spring residual pneumatic,,canada,injury,potentially significant,health safety,2023,unauthorized system override creates multi energy exposure line maintenance,near miss,1,maintenance crew preparing replace malfunctioning actuator multipurpose utility line uses combination pneumatic pressure hydraulic assist internal spring return mechanism digital isolation dashboard showed three energy sources verified zero work permit indicated mechanical hydraulic restraints applied team removed first series bolts without issue began loosening actuator housing technician observed sudden micro movement felt warm mist near gasket unexpected given supposed isolation manual check quickly revealed residual pneumatic pressure trapped behind blocked vent moderate hydraulic pressure held stuck check valve partial spring tension due unrestrained cartridge review system logs showed remote user later identified compromised account overridden multiple isolation flags without physical verification work immediately stopped component secured three energy sources physically isolated bled job restarted one injured,simultaneous release hydraulic pneumatic energy causing projectile impact injuries sudden spring force release leading crush blunt force trauma high velocity equipment movement damaging piping scaffolding personnel escalation wider process upset line failed catastrophically,root causes digital isolation system allowed multi energy status changes without mandatory physical verification energy isolation procedures treated energy type independently rather combined hazard cybersecurity safeguards remote access accounts insufficient incomplete risk assessment equipment containing one stored energy mechanism,overreliance dashboard indicators without cross checking physical gauges bleed points restraints blocked pneumatic vent sticky hydraulic check valve masked true energy state high workload time pressure busy maintenance window crew unfamiliar internal spring design mixed energy actuator communication gaps operations maintenance regarding earlier dashboard anomalies,technician recognized abnormal movement stopped work immediately team secured area significant release occurred manual verification multiple energy types prevented escalation operations rapidly disabled compromised account strong stop work culture helped prevent multi energy release lessons prevent occurrence always verify energy source hydraulic pneumatic mechanical independently digital indications sufficient multi energy systems require integrated isolation plans individual checklists strengthen cybersecurity controls systems influence isolation states ensure bleed points vents maintained unobstructed train maintenance teams recognizing multi energy storage conditions hidden residual pressure require two person physical verification multi energy equipment opening,,action implement mandatory dual approval workflow isolation changes involving multi energy equipment owner role operations manager timing immediate verification system audit log confirms dual approval entries action update isolation procedure include integrated multi energy verification steps owner role hse advisor timing days verification procedure issued sampled permits show compliance action add physical mechanical restraint indicators spring loaded components colored flags visible pins owner role reliability engineer timing days verification field checks confirm indicator installation action perform maintenance pneumatic vents hydraulic check valves ensure reliable depressurization owner role maintenance lead timing days verification work orders closed functional tests action disable remote isolation overrides except designated supervisory roles mfa owner role security lead timing days verification access logs confirm permissions updated action create training module technicians identifying hidden residual energy multi energy assemblies owner role training coordinator timing days verification attendance records post test results action add real time anomaly alerts isolation statuses change without corresponding field confirmation owner role ot security specialist timing days verification successful test alert logged action introduce multi discipline pre task reviews equipment containing one stored energy source owner role area supervisor timing days verification review records attached applicable permits
55,process unit commissioning integrated utility module,,canada,injury,potentially significant,health safety,2022,multi energy isolation breach system commissioning,near miss,1,commissioning team conducting final functional checks newly installed utility module combining electrical drives hydraulic actuators pneumatic positioners system placed commissioning safe mode digital isolation dashboard indicated three energy sources electrical supply hydraulic pressure instrument air isolated locked part test sequence technician began loosening diagnostic access cover hydraulic pneumatic interface manifold upon loosening first bolts team observed slight movement faint hiss rapid zero energy check revealed three simultaneous anomalies residual hydraulic pressure trapped behind partially open isolation valve live instrument air feeding bypass loop represented isolation diagram energized low voltage circuit unintentionally activated software reset work immediately stopped area cleared equipment resecured investigation showed earlier day remote system reboot applied automated pass commissioning step flag incorrectly updated digital isolation state without matching physical lockout injuries occurred,unexpected motion actuators leading crush pinch impact injuries high pressure hydraulic pneumatic release causing lacerations injection injury electrical contact arc initiation low voltage covers fully removed secondary equipment damage triggering wider commissioning delays line shutdown potential multi energy cascading release actuators moved bolts removed,root causes digital isolation states allowed update automatically system reset without physical verification commissioning procedures treated energy forms separately rather integrated multi energy hazard lack robust management change commissioning specific software behavior insufficient involvement operations verifying isolation boundaries new module,bypass loop captured recent isolation drawing high workload time pressure commissioning phase limited team familiarity hybrid energy configuration new module communication gaps controls commissioning maintenance teams regarding automated reset behavior requirement dual person physical verification multi energy systems,technician recognized abnormal movement early exercised stop work authority quick retreat work front prevented exposure simultaneous energy release site operations staff assisted rapidly isolating energy sources manually incident reported promptly enabling cross discipline learning team revalidated commissioning steps resuming work lessons prevent occurrence multi energy systems require integrated isolation planning verification separate energy checklists automated software driven status updates must never replace physical verification commissioning resets trigger mandatory verification rather auto confirm previous states isolation diagrams must reflect bypasses temporary connections commissioning tie ins cross discipline reviews essential complex commissioning tasks personnel must understand hidden risks hybrid electrical hydraulic pneumatic systems,,action implement mandatory dual verification step multi energy isolation commissioning owner role commissioning lead timing immediate verification sampled permits show two signatures energy types action disable automatic isolation state updates triggered software resets owner role controls engineer timing days verification system test confirms manual confirmation required reset action update isolation drawings include bypasses commissioning jumpers temporary utilities owner role engineering document control timing days verification field walkdown confirms drawings match installed configuration action create commissioning specific multi energy risk module personnel owner role hse training coordinator timing days verification training completion records post assessment results action introduce physical zero energy confirmation hybrid actuator interfaces line opening activities owner role maintenance supervisor timing immediate verification audit work packages shows documented checks action configure alerting mismatch digital isolation states field verified lockout owner role ot security specialist timing days verification alert test scenarios successfully logged action add commissioning phase moc steps addressing automated behaviors control systems owner role process safety engineer timing days verification moc templates revised validated pilot use action require pre task cross discipline briefings work involving three energy types owner role operations supervisor timing days verification records briefings attached commissioning work orders
56,utilities area mixed hydraulic pneumatic electrical system,,canada,injury,potentially significant,health safety,2023,multi energy isolation breach contractor equipment upgrade,near miss,1,contractor crew engaged upgrade control module multi energy actuator assembly operating low voltage power pneumatic positioning air hydraulic assist work permit indicated three energy sources isolated locked verified contractors removed external housing noticed unexpected vibration actuator stem seconds later brief pulse pneumatic pressure escaped small gap seal actuator shifted millimeters team immediately stepped back supervisor performed manual checks discovered electrical supply partially restored parallel test circuit residual pneumatic pressure trapped stuck bleed valve hydraulic back pressure retained due untagged check valve upstream housing secured three energy sources manually isolated bled zero work plan rewritten continuing,sudden actuator stroke causing crush impact injury high pressure hydraulic pneumatic release leading laceration injection injury electrical contact internal terminals exposed movement uncontrolled actuator movement damaging adjacent equipment scaffolding,root causes multi energy isolation procedure require integrated verification across energy types contractor interface process lacked robust confirmation simultaneous isolation shared circuits commissioning activities reinstated electrical supply without automatic notification contractor teams inadequate moc equipment hybrid energy sources,contractors relied solely digital indicators without physical checks bleed points incomplete tagging upstream check valves allowed hydraulic pressure remain trapped poor communication operations contractor supervisors ongoing system testing tight schedule produced time pressure reduced thoroughness cross checks bleed valve maintenance backlog contributed sticking partial blockage,contractors recognized abnormal movement quickly stopped work ppe eye protection gloves provided protection brief release supervisor conducted immediate field verification allowing work area cleared resecured prior attempting task collaboration operations contractors restored safe conditions efficiently lessons prevent occurrence treat multi energy systems single integrated hazards requiring joint isolation checks ensure contractors receive real time updates system testing resets require physical zero energy verification hydraulic pneumatic electrical systems opening equipment improve tagging labeling valves retain residual energy strengthen contractor operations communication shared pre task briefings build redundancy digital isolation systems prevent false verified states,,action introduce multi energy isolation checklist requiring joint sign operations contractor supervisors owner role operations supervisor timing immediate verification audit permits shows two sign offs multi energy work action add physical zero energy verification steps pressure gauges bleed tests voltage absence tests contractor scopes involving mixed energy owner role hse advisor timing days verification field inspections confirm consistent documentation action implement automated alerts electrical circuits shared contractor work scopes energized owner role controls engineer timing days verification test alert logs demonstrate proper functionality action tag hydraulic check valves capable retaining residual pressure standardized potential stored energy labels owner role reliability engineer timing days verification site walkdown confirms tagging completeness action reinforce contractor onboarding include multi energy hazard modules commissioning interface expectations owner role contractor coordinator timing days verification training records competency checks action repair replace pneumatic bleed valves known sticking issues owner role maintenance lead timing days verification completed work orders functional tests action establish mandatory cross discipline pre task reviews equipment three energy sources owner role area authority timing days verification meeting minutes attached work packages action add commissioning phase lockout verification protocol shared circuits owner role process safety engineer timing days verification updated procedure published referenced permits
57,mechanical area mixed electrical pneumatic hydraulic system,,canada,injury,potentially significant,health safety,2021,multi energy release risk triggered ptw conflict equipment isolation,near miss,1,maintenance crew preparing replace control valve multi energy actuator assembly powered low voltage electrical supply pneumatic position air hydraulic boost circuit permit work ptw approved full isolation energy sources however separate contractor crew held simultaneous ptw conduct diagnostic checks nearby electrical distribution panel requiring partial energization shared circuits two permits referenced isolation boundary cross checked electrical circuit feeding actuator energized maintenance team loosening housing bolts time pneumatic bypass used contractor team testing supplied residual air valve positioner minor movement actuator stem occurred prompting worker stop immediately subsequent field verification showed three energy sources actually isolated required work stopped area secured permits voided new coordinated ptw controls established recommencing activities,actuator stroke causing crush impact injuries hands wrists face high pressure hydraulic pneumatic release causing injection laceration hazards electrical shock internal components became exposed movement escalation equipment damage wider process upset motion affected nearby components,root causes ptw system allowed overlapping work scopes without mandatory cross permit conflict review shared electrical pneumatic boundaries captured isolation plan integrated multi energy isolation strategy systems hybrid power sources insufficient supervision simultaneous contractor work,maintenance crew relied isolated indicators without physical verification energy sources contractor testing reinstated electrical power unintentionally due shared circuits bypass valves left open contractor team supplied residual instrument air compressed timeline reduced depth pre task hazard discussions limited familiarity actuator internal configuration energy retention points,worker recognized unexpected actuator movement stopped work immediately ppe gloves face protection prevented potential minor injuries small movement supervisors quickly suspended permits secured area joint field verification helped teams understand true hazard boundaries lessons documented shared across internal teams contractors lessons prevent occurrence multi energy systems require coordinated integrated isolation checks separate ptw streams ptws must undergo conflict review shared boundaries approval physical verification pressure checks bleed tests voltage absence tests must occur line opening temporary bypasses used contractor work must documented closed formally supervisors must perform joint briefings multiple teams work proximity isolation drawings must clearly show shared circuits utilities affect adjacent equipment,,action add mandatory ptw conflict review work involving shared energy boundaries owner role hse advisor timing immediate verification ptw audit shows conflict review sign action implement physical zero energy checks electrical pneumatic hydraulic sources equipment opening owner role maintenance lead timing days verification random field audits show documented checks permits action update isolation diagrams display shared circuits bypass lines actuator multi energy configurations owner role engineering document control timing days verification drawings verified field walkdown action require joint contractor operations pre task briefings permits overlap area owner role operations supervisor timing immediate verification attendance records attached ptw packages action install lockable blocks pneumatic bypasses prevent inadvertent pressurization ptw owner role reliability engineer timing days verification physical inspection confirms hardware installed action add circuit level tagging prevent energization shared feeders without coordination owner role electrical supervisor timing days verification tagging observed line walk action update ptw training include multi energy hazard scenarios cross permit risk examples owner role training coordinator timing days verification completion records post test scores action develop escalation protocol requiring supervisor involvement contractors request temporary energization owner role contractor coordinator timing days verification review ptw logs confirms adherence
